segment,gait,direction,surface,stride_dur,duty_factor,stance_dur_LF,stance_dur_RF,stance_dur_LH,stance_dur_RH,swing_dur_LF,swing_dur_RF,swing_dur_LH,swing_dur_RH,swing_intensity_LF,swing_intensity_RF,swing_intensity_LH,swing_intensity_RH,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,suspension_sec,suspension_perc,suspension_L_sec,suspension_L_perc,suspension_R_sec,suspension_R_perc,dap_L_sec,dap_L_perc,dap_R_sec,dap_R_perc,lap_L_sec,lap_L_perc,lap_R_sec,lap_R_perc,rom_sagittal_LF,rom_sagittal_RF,rom_sagittal_LH,rom_sagittal_RH,rom_coronal_LF,rom_coronal_RF,rom_coronal_LH,rom_coronal_RH,protraction_LF,protraction_RF,protraction_LH,protraction_RH,retraction_LF,retraction_RF,retraction_LH,retraction_RH,abduction_LF,abduction_RF,abduction_LH,abduction_RH,adduction_LF,adduction_RF,adduction_LH,adduction_RH,stride_speed,stride_length,min_diff_head,max_diff_head,si_up_head,min_diff_wth,max_diff_wth,si_up_wth,min_diff_sac,max_diff_sac,si_up_sac,hiphike_swing,hiphike_stance,horse_name,measurement,exam_type,exam_purpose,flexion_test,diagnostic_analgesia,inconclusive
1,"walk","left","hard",1.2256,63.8197,0.81,0.76,0.83,0.73,0.43,0.455,0.435,0.495,193.8617,196.5146,137.9723,128.5956,66.2577,62.423,66.2675,60.3306,,,,,,,-0.265,-21.6216,-0.295,-24.0694,0.365,29.1417,0.32,26.4463,78.7716,77.2646,56.4516,60.0887,16.575,21.5476,10.4274,17.7366,34.1541,31.4402,24.8982,29.0642,-44.6175,-45.8244,-31.5533,-31.0246,7.7773,16.4647,7.1691,9.1817,-8.7977,-5.0828,-3.2583,-8.5549,,,26.0722,-19.5476,0.3636,-6.0985,-7.823,0.4356,12.3527,1.3643,0.1479,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.1956,63.1522,0.785,0.735,0.77,0.73,0.395,0.46,0.41,0.465,223.5592,202.4592,145.8671,145.763,65.4167,61.5063,64.9789,60.7069,,,,,,,-0.26,-21.7459,-0.285,-23.8369,0.33,27.8481,0.345,28.6902,73.2544,77.9638,61.7029,61.0883,23.5881,19.8626,7.5319,20.7284,30.9012,35.3358,30.9319,31.788,-42.3532,-42.628,-30.771,-29.3003,13.6904,16.6038,5.2078,10.4293,-9.8977,-3.2588,-2.3241,-10.2991,,,-1.6905,-4.1829,0.0258,,-1.2387,0.3833,0.2266,-1.4354,0.0248,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.2056,63.5524,0.765,0.755,0.8,0.745,0.435,0.46,0.42,0.48,197.1302,196.395,147.1159,138.4868,63.8831,63.048,65.7084,61.5702,,,,,,,-0.23,-19.0772,-0.275,-22.8097,0.36,29.5688,0.33,27.2727,76.9225,79.2713,60.3735,61.4778,15.3279,20.4832,15.0689,20.9635,31.1083,32.6582,28.1429,29.0974,-45.8142,-46.6131,-32.2306,-32.3803,9.0851,17.2825,9.4161,12.1623,-6.2427,-3.2007,-5.6528,-8.8012,,,9.4826,8.0846,0.0137,5.201,-3.8964,-0.0268,-2.7431,0.5404,-0.0484,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.2088,63.1977,0.76,0.78,0.77,0.745,0.43,0.425,0.415,0.45,211.946,218.6847,155.4642,147.2477,63.4656,64.1975,64.4351,60.6925,,,,,,,-0.25,-20.6825,-0.275,-22.7508,0.34,28.4519,0.315,25.6619,75.1223,76.4795,61.0764,61.5808,18.2911,20.7027,12.8849,17.7967,32.645,32.2696,29.698,30.0054,-42.4773,-44.2099,-31.3784,-31.5754,12.1964,16.8243,7.4654,8.716,-6.0947,-3.8783,-5.4195,-9.0807,,,12.7811,2.5484,0.0961,-5.895,-1.2418,0.2823,9.4406,-4.7972,0.1762,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.205,62.4295,0.76,0.745,0.805,0.7,0.445,0.445,0.435,0.515,199.5941,195.1931,145.7023,127.3641,63.4656,62.7368,65.1822,58.3333,,,,,,,-0.275,-22.8216,-0.33,-27.3859,0.34,27.5304,0.28,23.3333,75.8742,80.4528,60.0349,59.601,12.5889,19.1624,14.2899,21.8111,30.9215,34.7384,27.423,29.2697,-44.9527,-45.7145,-32.6119,-30.3314,8.6863,16.1233,9.129,11.3217,-3.9026,-3.0391,-5.1609,-10.4894,,,-15.2694,,0.2138,8.0148,-1.6938,-0.3336,5.1032,-1.4186,0.0836,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.215,63.3662,0.79,0.8,0.765,0.725,0.43,0.44,0.425,0.485,202.8916,211.6012,144.0638,132.4318,64.8871,64.7773,63.8831,59.9174,,,,,,,-0.28,-23.0453,-0.325,-26.749,0.3,25.0522,0.28,23.1405,75.0794,78.2648,57.9277,62.285,16.7097,11.9214,13.1792,13.8002,31.5427,33.6694,25.3254,30.5545,-43.5367,-44.5954,-32.6023,-31.7304,10.7266,10.6974,10.8175,7.4011,-5.9832,-1.2241,-2.3617,-6.3991,,,14.136,-18.7781,0.3084,7.8165,-3.9171,-0.2278,-0.9509,-1.1435,0.0026,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.2119,63.0067,0.805,0.76,0.775,0.715,0.425,0.43,0.44,0.485,201.0373,195.2932,141.4037,136.2762,65.4472,62.423,64.4491,59.7077,,,,,,,-0.3,-24.755,-0.32,-26.4054,0.31,25.7796,0.3,25.0522,75.4643,76.3854,59.9586,60.8511,22.9146,21.948,11.5887,20.001,33.3801,32.2475,27.9557,30.1394,-42.0842,-44.1379,-32.0029,-30.7117,14.3394,17.4294,7.2533,10.9993,-8.5752,-4.5186,-4.3354,-9.0018,,,1.2509,-4.9502,0.0557,4.0564,8.6507,-0.2316,-1.2159,-4.9627,0.049,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.2381,63.5102,0.825,0.755,0.8,0.765,0.425,0.485,0.415,0.48,204.1915,188.824,148.8702,133.0497,66.6667,61.1336,65.0407,61.2,,,,,,,-0.26,-20.9995,-0.285,-23.0187,0.35,28.4553,0.35,28,71.6276,74.489,59.6475,61.6951,14.3828,16.9809,12.6798,20.1732,29.2072,33.0614,27.238,28.5052,-42.4204,-41.4276,-32.4095,-33.19,8.3937,16.112,7.8537,10.454,-5.989,-0.8689,-4.8261,-9.7192,,,30.5512,-22.6142,0.3986,3.886,1.8517,-0.1008,5.3321,1.9409,0.0438,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
1,"walk","left","hard",1.205,63.8616,0.82,0.735,0.8,0.725,0.4,0.475,0.445,0.49,201.2302,176.0063,142.9507,132.7808,66.6667,62.6866,65.0407,61.0526,,,,,,,-0.26,-21.5768,-0.315,-26.1411,0.33,26.8293,0.325,27.3684,76.2137,77.5191,57.3217,58.5724,22.1172,20.7747,11.0426,17.742,34.7465,31.5669,26.5113,26.7044,-41.4673,-45.9521,-30.8103,-31.868,14.1528,12.0421,6.9138,9.7366,-7.9644,-8.7325,-4.1288,-8.0054,,,2.1044,14.8278,-0.1274,6.8543,-2.6088,-0.2226,,-2.5571,0.292,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
2,"trot","left","hard",0.7725,54.3457,0.435,0.455,0.405,0.385,0.335,0.345,0.33,0.385,290.0824,307.2871,209.8326,197.2558,56.3107,57.4132,53.8206,49.8382,,,0,0,0,0,0,0,-0.005,-0.6472,,,,,84.8834,82.5146,56.2593,65.1732,23.4705,24.8259,12.2835,22.3358,28.3068,26.933,26.0912,33.8471,-56.5767,-55.5816,-30.1681,-31.3261,18.1708,22.4902,8.1815,14.1339,-5.2997,-2.3357,-4.1019,-8.2018,,,16.7301,11.1664,0.3234,-19.4448,-9.9953,-0.3666,9.4077,1.6526,0.197,,,"Duque","20240627T095239_logfile.itlog","In hand","Research",,,"missing data: Right hind leg"
